mlbam_id,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,HBP,SH,SF
452027,1,0,1,0,0,0,1,0,0,0,0,0,2,0
594760,1,0,1,0,0,0,0,0,0,1,0,0,0,0
543219,1,1,1,1,0,0,1,0,0,0,0,0,0,0
502706,1,0,1,0,0,0,0,0,0,0,0,0,0,0
628452,1,0,1,1,0,0,0,0,0,0,0,0,0,0
456124,2,0,2,1,0,0,2,0,0,0,0,0,0,0
456034,1,0,1,0,0,0,0,0,0,0,0,0,0,0
600526,1,1,1,0,0,0,0,0,0,0,0,0,0,0
541640,3,0,2,0,0,0,1,0,0,0,1,0,0,0
609280,7,0,4,2,0,0,4,1,0,1,0,0,0,0
594772,2,1,1,0,0,0,1,0,0,1,1,0,0,0
518633,2,0,1,0,0,0,0,0,0,0,1,0,0,0
608650,2,0,1,0,0,0,0,0,0,0,1,0,0,0
451596,2,0,1,0,0,0,0,0,0,0,0,0,0,0
594835,2,0,1,0,0,0,0,0,0,0,1,0,1,0
445276,4,0,2,1,0,0,1,0,0,0,0,0,0,0
446372,2,0,1,0,0,0,0,0,0,0,0,0,0,0
596043,2,1,1,0,0,0,0,0,0,1,0,0,1,0
543542,2,0,1,0,0,0,0,0,0,0,1,0,0,0
605388,2,0,1,0,0,0,0,0,0,1,1,0,0,0
506747,10,3,5,0,0,2,2,0,0,0,3,0,0,0
444468,2,0,1,0,0,0,0,0,0,0,0,0,0,0
477569,2,0,1,0,0,0,0,0,0,0,1,0,0,0
489334,6,2,3,1,0,0,0,0,0,2,2,0,0,0
571553,5,2,2,1,0,1,3,0,0,0,0,0,0,0
596105,27,2,10,2,0,0,1,1,0,1,10,1,0,0
592567,11,3,4,0,1,1,3,0,0,1,1,0,0,0
607732,14,3,5,2,0,0,3,0,0,2,2,0,0,0
465753,46,6,16,4,1,0,6,0,0,3,16,0,0,0
571757,52,10,18,2,2,2,10,1,0,9,20,0,0,0
514888,590,112,204,39,4,24,81,32,6,58,84,9,1,4
570799,32,5,11,1,0,4,7,0,0,0,10,0,0,0
571510,3,0,1,0,0,0,0,0,0,0,0,0,0,0
592200,9,2,3,0,0,1,3,0,0,3,3,0,0,1
453178,3,0,1,0,0,0,0,0,0,1,0,0,0,0
605357,9,1,3,1,0,1,1,0,0,0,1,0,0,0
543606,3,0,1,0,0,0,1,0,0,0,0,0,1,0
501381,3,0,1,0,0,0,0,0,0,0,2,0,1,0
607074,6,0,2,1,0,0,2,0,0,0,2,0,1,0
543734,9,1,3,0,0,0,0,0,0,0,3,0,1,0
519242,3,0,1,1,0,0,0,0,0,0,1,0,0,0
594992,3,0,1,0,0,0,0,0,0,0,1,0,0,0
642082,18,3,6,2,0,2,4,0,0,3,7,1,0,0
623451,6,1,2,0,0,0,2,0,0,0,2,0,0,0
642239,3,0,1,0,0,0,0,0,0,0,0,0,0,0
453568,644,137,213,35,14,37,104,14,10,65,135,10,3,3
541645,518,75,171,27,5,18,80,5,3,33,111,9,0,1
643265,43,3,14,5,1,0,6,0,0,1,12,0,0,1
502517,534,94,172,43,3,23,93,2,0,52,77,4,0,3
457759,457,72,147,32,0,21,71,7,1,59,56,19,1,7
458015,559,106,179,34,1,36,100,5,1,134,83,8,0,6
457763,494,62,158,34,0,12,67,6,1,61,66,8,0,5
547180,420,95,134,27,1,29,87,4,2,68,99,1,0,3
543333,603,98,192,31,1,25,94,6,1,66,104,0,0,2
608070,585,107,186,56,6,29,83,17,5,52,69,3,0,5
457706,280,46,89,19,3,7,35,3,1,33,64,1,0,4
595751,107,12,34,6,0,5,14,0,0,3,33,4,0,0
642423,60,10,19,0,0,0,5,2,2,4,14,0,0,0
621043,422,82,133,25,1,24,84,2,1,53,92,2,0,4
435062,305,40,96,16,3,9,41,12,5,22,68,5,0,2
502210,477,77,150,34,4,13,82,7,3,43,72,0,1,12
502100,245,30,77,10,3,3,20,5,0,15,49,0,3,0
456488,467,60,146,33,0,12,58,24,7,18,54,3,1,2
476883,32,4,10,1,0,1,4,0,0,2,10,0,0,0
134181,340,47,106,22,1,17,71,1,0,39,52,4,0,6
542303,613,93,191,30,2,37,124,1,3,64,144,0,0,2
518934,609,95,189,28,4,8,64,6,5,59,90,6,3,5
500874,272,47,84,13,1,14,46,4,0,32,60,0,1,2
467827,392,56,121,24,1,10,71,2,5,20,67,4,0,9
571448,606,100,187,43,7,37,130,3,2,62,106,4,1,6
543829,653,114,201,20,9,2,33,60,16,25,93,10,2,4
545121,13,4,4,1,0,0,4,0,0,0,3,0,0,0
621563,13,3,4,1,0,1,5,0,0,1,3,0,0,0
518692,440,84,135,35,2,28,71,8,5,65,95,7,0,2
502054,444,95,136,22,2,23,73,25,7,71,117,10,2,3
545361,402,92,123,25,3,33,72,22,4,94,90,7,0,4
408045,525,69,160,36,1,7,71,2,1,66,83,3,0,3
547989,621,95,189,43,6,33,102,3,0,35,119,15,0,4
542255,662,93,201,27,5,11,57,22,9,49,94,0,3,4
475582,524,90,159,33,0,36,108,1,0,44,126,3,0,5
452252,267,39,81,14,0,14,59,1,0,28,47,0,0,6
503556,455,67,138,34,0,23,90,8,3,49,99,6,3,2
502110,432,85,131,26,3,45,104,4,0,53,128,0,0,4
595943,33,4,10,2,0,0,1,0,0,4,8,1,0,0
543685,508,81,153,41,1,25,100,7,2,84,82,7,0,6
537953,183,21,55,8,1,4,21,1,0,26,38,3,0,2
516770,443,66,133,18,1,16,63,2,0,23,93,4,0,3
571657,20,1,6,1,0,0,2,0,0,0,3,0,0,0
621512,10,0,3,1,0,0,3,0,0,0,2,0,0,0
456715,584,86,175,27,5,15,49,26,2,54,100,5,0,2
516416,524,80,157,30,2,11,45,22,8,34,83,6,0,1
488726,338,47,101,20,1,9,52,11,1,31,50,2,0,4
622666,241,30,72,21,2,4,27,0,0,12,51,0,2,1
493329,529,69,158,43,1,18,75,3,2,22,62,7,0,6
546991,299,39,89,18,1,8,46,1,0,19,53,0,3,2
608385,121,21,36,7,0,7,15,1,1,15,24,0,1,0
502671,558,117,166,34,3,36,120,18,5,94,147,8,0,4
462101,643,100,191,44,4,20,88,25,10,38,101,3,1,4
446359,438,80,130,24,7,24,63,3,0,62,78,3,0,4
594809,91,24,27,7,1,2,13,3,1,14,18,1,0,1
607471,27,6,8,2,0,0,1,0,1,4,9,1,0,0
445055,379,65,112,18,3,2,34,6,2,37,80,12,3,2
592178,549,111,162,38,4,29,73,7,5,95,128,15,0,6
571697,461,80,136,22,3,27,97,3,2,30,114,4,0,2
608369,539,85,159,33,0,22,77,4,2,67,131,4,0,3
607192,17,1,5,0,0,0,3,0,0,4,7,1,1,0
514917,511,85,150,26,6,9,34,15,5,61,104,4,0,1
444482,525,82,154,31,3,14,57,8,4,43,94,6,0,3
456030,406,46,119,19,0,7,62,4,3,49,48,2,2,4
641820,543,65,159,26,4,24,78,1,0,33,139,6,0,4
570731,622,92,182,35,0,32,105,1,0,35,142,11,0,7
493316,291,46,85,17,2,17,42,0,1,26,61,2,0,2
591720,315,35,92,15,1,3,36,2,0,11,43,1,5,4
500743,272,37,79,16,2,1,26,2,1,27,32,4,1,2
542963,31,4,9,1,0,2,5,0,0,3,14,2,0,0
543877,324,43,94,18,2,5,32,7,2,17,64,3,0,1
608061,214,27,62,13,1,5,27,1,0,9,32,5,1,2
592696,542,79,157,33,2,27,78,9,8,35,106,0,4,8
571506,377,52,109,18,0,25,83,1,0,47,95,1,0,4
605131,218,35,63,15,2,8,38,4,1,39,43,5,0,0
517369,312,43,90,25,4,10,40,4,3,27,71,2,1,2
502082,236,34,68,17,1,12,53,2,2,25,55,3,3,3
600303,125,18,36,8,0,5,22,0,0,20,18,2,0,2
621035,514,85,148,34,5,21,72,17,4,50,142,3,0,1
593160,587,80,169,32,6,19,78,34,8,29,88,6,1,7
443558,556,91,160,28,0,39,119,1,1,70,140,12,0,7
605412,511,60,147,28,5,10,53,4,1,46,54,5,3,8
608384,313,45,90,14,4,12,55,1,2,20,97,6,0,4
606132,160,27,46,12,2,2,16,5,2,8,36,2,1,0
544369,534,73,153,27,0,25,87,3,1,25,70,3,0,7
645277,217,34,62,9,5,6,28,8,1,21,36,3,1,2
502239,14,1,4,1,0,0,2,0,0,1,4,0,3,0
502151,14,3,4,0,1,0,0,0,0,1,6,0,0,0
502748,7,1,2,1,0,0,2,0,0,1,3,0,0,0
573186,7,2,2,1,0,1,1,0,0,0,4,0,0,0
466320,620,78,177,30,2,17,85,1,2,36,74,2,2,6
657557,417,55,119,26,1,25,65,1,0,21,124,4,0,1
543939,354,55,101,27,3,4,42,8,2,41,60,12,1,3
408252,572,81,163,34,1,13,60,11,8,21,73,8,2,1
430945,597,82,170,28,1,26,73,2,1,27,113,7,1,3
608324,556,88,158,39,5,19,71,17,5,55,97,7,1,7
592450,542,128,154,24,3,52,114,9,4,127,208,5,0,4
607208,412,75,117,24,6,11,45,46,8,30,80,4,0,1
646240,222,34,63,14,0,10,30,3,1,18,57,0,0,0
600869,127,18,36,9,0,3,16,0,0,13,30,2,0,0
543807,548,112,155,29,0,34,85,5,7,64,111,11,0,4
607345,276,23,78,17,0,4,30,0,0,9,46,3,2,3
435559,276,38,78,13,0,19,50,0,0,17,39,13,1,2
592885,602,100,170,36,2,18,81,16,2,80,137,6,0,6
572816,588,84,166,33,4,27,62,4,3,35,152,3,0,2
485567,287,38,81,10,1,8,20,10,1,30,75,3,5,0
621471,117,24,33,5,0,3,12,0,1,15,30,0,1,2
596103,117,15,33,3,1,3,16,0,0,8,29,2,0,0
571745,369,58,104,25,2,16,47,5,4,31,93,9,1,0
456078,341,44,96,11,0,20,53,0,0,22,97,0,0,2
519317,597,123,168,32,0,59,132,2,2,85,163,7,0,3
546318,526,67,148,42,3,14,56,8,5,31,126,4,0,2
458675,121,17,34,7,1,9,23,1,0,7,45,0,0,1
452095,317,41,89,16,0,12,49,0,1,31,82,20,0,2
429664,592,79,166,33,0,23,97,1,0,49,85,4,0,3
452678,479,66,134,32,0,14,59,3,2,50,83,5,1,5
457705,570,94,159,30,2,28,88,11,5,73,116,4,0,3
624424,373,72,104,20,1,27,68,2,0,57,113,8,0,2
444489,330,45,92,21,0,9,43,2,0,20,79,5,1,3
643603,61,7,17,6,0,3,10,0,1,4,16,1,0,1
592743,589,77,164,38,2,14,69,19,6,47,67,3,0,8
592663,532,68,148,31,5,17,65,8,2,36,106,8,0,3
596142,471,79,131,20,0,33,90,2,1,40,120,10,0,4
570267,525,88,146,29,0,30,85,15,4,73,178,6,0,3
542921,533,67,148,18,5,22,62,6,5,36,167,4,1,1
476704,567,86,157,49,3,14,69,0,1,73,100,2,0,3
493114,336,48,93,20,2,5,35,10,2,29,44,3,1,5
606115,506,56,140,17,2,15,53,14,7,36,100,1,2,3
553882,253,23,70,10,0,2,14,0,0,38,45,1,3,0
595281,380,56,105,15,3,15,39,16,7,31,99,5,4,1
461314,438,47,121,23,1,19,64,0,2,27,99,0,0,1
575929,377,50,104,21,0,21,74,5,4,45,98,3,1,2
624428,406,55,112,20,6,6,53,9,5,36,57,8,1,3
593523,58,7,16,3,0,0,2,0,1,1,15,1,0,0
543484,348,50,96,15,6,12,38,6,0,23,79,6,0,2
621433,87,9,24,3,0,4,12,5,0,9,34,1,1,0
572669,109,19,30,4,1,5,20,10,0,10,37,1,1,1
516782,309,48,85,7,2,7,31,21,4,20,63,8,0,2
592325,509,68,140,27,5,11,59,4,1,36,122,1,1,3
519184,291,37,80,13,2,1,20,21,6,15,25,0,0,2
455976,593,76,163,39,1,8,76,0,2,68,110,6,0,3
571431,339,46,93,22,1,20,65,0,0,23,88,1,0,4
435622,339,47,93,11,1,7,40,15,4,24,87,4,2,4
488862,350,43,96,20,1,7,31,1,4,29,51,2,0,0
425877,501,60,137,27,1,18,82,9,4,28,74,4,1,9
452104,512,77,140,30,1,12,61,9,2,60,132,6,1,7
596019,651,99,178,44,4,33,89,15,3,60,93,4,5,3
543768,538,84,147,34,1,31,101,10,0,60,138,4,1,3
593428,571,94,156,32,6,10,62,15,1,56,116,6,0,2
519299,249,37,68,15,1,3,18,3,3,45,37,4,1,0
595879,469,75,128,24,2,23,75,10,3,30,144,1,6,2
457708,557,100,152,44,0,35,109,14,5,74,180,3,0,1
543432,11,0,3,1,0,0,2,0,0,1,3,1,0,0
600466,11,1,3,0,0,0,0,0,0,0,3,0,0,0
519203,572,99,156,32,3,32,109,10,4,91,90,24,0,4
576397,426,52,116,21,2,20,67,6,2,47,105,1,0,7
519058,555,75,151,24,0,38,85,0,0,34,94,3,0,6
592206,614,73,167,36,10,26,101,4,5,41,142,5,0,5
452655,497,73,135,31,5,12,43,12,7,40,69,3,1,1
543281,486,66,132,26,2,16,47,12,4,28,90,23,2,3
571437,372,58,101,24,5,19,65,5,4,32,104,7,0,1
594694,332,47,90,10,4,5,21,10,1,24,74,1,5,3
527038,336,42,91,17,1,18,52,1,1,17,54,3,0,6
592387,576,66,156,29,0,25,78,0,1,23,142,4,0,2
592808,96,17,26,3,0,5,15,0,1,5,16,1,0,0
572191,399,55,108,23,3,19,53,17,7,29,137,1,1,2
572821,617,106,167,30,4,34,93,16,7,78,141,8,0,2
643217,573,84,155,26,1,20,90,20,5,70,112,6,1,8
641319,307,28,83,14,1,4,21,0,1,28,76,2,5,1
571466,370,26,100,24,2,7,44,4,0,42,68,3,5,3
544725,300,41,81,15,2,9,33,8,5,13,69,8,3,2
518626,415,65,112,21,0,33,78,2,2,76,111,3,0,2
475253,560,85,151,29,1,38,90,0,1,73,128,2,0,2
605480,256,33,69,8,4,2,12,16,5,23,62,0,2,1
592261,376,75,101,15,2,6,22,29,8,44,109,3,13,4
460075,380,58,102,28,2,17,52,12,4,38,76,3,0,4
572008,362,41,97,25,1,12,51,12,2,17,87,1,2,4
624407,56,7,15,0,2,0,2,1,1,9,17,0,1,0
506703,71,6,19,7,0,0,11,0,2,1,25,1,2,0
521692,471,57,126,24,1,27,80,1,0,17,95,5,0,5
592273,445,41,119,37,2,13,63,1,1,28,103,5,0,2
452672,101,9,27,2,0,2,12,0,0,8,26,1,1,1
448602,520,82,139,22,1,30,97,2,1,69,175,1,0,3
641355,480,87,128,26,4,39,97,10,3,64,146,1,0,3
596847,15,2,4,1,0,2,5,0,0,2,5,0,0,1
623993,30,1,8,3,0,0,2,0,0,0,8,0,0,1
570560,484,63,129,19,8,12,59,8,9,35,111,4,7,4
475174,451,72,120,22,0,28,67,2,0,68,118,2,0,0
543308,173,25,46,12,0,6,22,2,1,13,51,3,0,1
572041,425,73,113,33,6,14,49,20,6,35,71,6,0,0
543305,301,54,80,18,0,15,52,10,5,51,67,3,1,5
595144,143,12,38,2,0,3,12,1,2,18,38,0,0,1
501303,162,30,43,9,2,2,24,8,1,16,25,1,1,6
542583,279,40,74,15,2,16,52,0,0,25,94,4,0,3
435522,385,59,102,21,2,14,49,0,2,55,77,5,1,2
518960,423,45,112,21,3,6,40,1,0,46,51,8,0,4
641432,34,3,9,0,0,1,4,0,0,2,7,1,0,0
605141,628,101,166,46,2,24,102,26,3,77,79,2,0,5
458731,594,96,157,26,4,21,63,23,5,72,122,8,5,3
451594,420,68,111,22,9,18,64,7,3,63,101,4,0,4
593934,424,75,112,15,2,28,77,0,0,54,173,4,0,1
453056,356,65,94,20,4,7,39,22,3,41,63,5,2,0
488671,311,41,82,13,1,14,49,0,1,62,120,1,1,1
458913,110,24,29,5,0,4,16,12,3,5,31,7,3,0
605486,444,57,117,18,2,13,46,11,3,34,128,5,2,1
594828,300,41,79,22,0,12,55,0,1,18,50,4,0,3
607752,76,13,20,6,0,0,1,1,0,6,23,1,0,0
501896,426,44,112,16,0,10,52,0,1,58,116,15,0,4
622534,487,53,128,18,7,13,39,17,7,35,106,2,1,4
650490,156,25,41,8,1,0,13,2,0,21,35,1,0,1
624577,499,72,131,24,2,28,74,15,6,64,100,2,0,5
547170,141,25,37,4,0,9,23,2,0,23,31,2,0,0
605119,84,11,22,7,1,0,8,0,0,10,28,0,0,1
425794,42,7,11,2,0,2,11,0,0,1,15,0,7,0
471865,470,72,123,34,0,14,57,3,0,56,119,2,0,6
430605,65,7,17,1,2,2,6,0,1,4,25,0,0,0
606192,88,16,23,6,0,8,20,0,1,6,36,0,0,1
425783,544,96,142,20,1,22,78,12,3,77,134,7,3,5
446334,613,71,160,36,2,20,86,6,1,46,109,6,0,12
588751,330,37,86,14,5,8,30,4,1,13,67,1,2,2
553993,534,87,139,25,2,26,82,4,5,84,147,9,0,5
606466,223,30,58,11,2,5,18,3,1,29,37,1,0,2
608700,100,11,26,5,0,3,13,1,0,14,17,3,0,1
607043,177,26,46,11,1,5,21,2,0,33,60,2,1,2
452254,493,55,128,13,5,13,67,2,3,40,102,2,0,4
467092,208,19,54,6,0,11,35,0,0,10,36,0,0,3
581527,185,22,48,18,0,5,24,4,2,7,38,2,1,2
518792,432,59,112,15,4,11,59,4,4,41,67,3,2,2
621566,189,33,49,2,0,24,45,0,0,22,60,5,0,0
541650,432,47,112,19,3,14,51,13,4,20,79,0,2,4
519295,27,1,7,1,0,0,0,0,0,1,6,1,0,0
467793,571,90,148,37,3,23,79,5,1,88,94,6,0,2
553988,166,17,43,5,1,1,11,1,0,10,32,1,2,2
656555,170,37,44,7,0,18,48,2,0,37,46,3,0,2
649557,286,31,74,17,0,7,20,4,1,13,42,0,1,1
592518,630,81,163,33,1,33,95,9,4,50,115,1,0,9
606299,487,50,126,9,4,5,37,23,8,20,70,7,3,1
640447,58,8,15,2,0,3,10,4,1,4,15,1,1,0
642162,182,28,47,11,0,13,40,0,0,7,53,0,5,1
429665,554,96,143,20,1,38,107,2,0,104,133,5,0,5
605509,194,32,50,4,2,1,11,9,1,23,46,0,2,3
452234,330,50,85,19,0,13,32,2,0,36,79,6,0,1
502226,101,17,26,5,1,2,11,5,4,11,24,1,3,1
595284,171,26,44,8,1,3,13,1,0,31,56,0,0,2
641313,587,72,151,26,4,17,56,15,1,13,162,3,2,1
593871,488,60,125,30,3,13,74,13,5,41,78,2,7,6
543376,254,31,65,14,1,8,28,0,0,10,72,1,1,0
491696,176,20,45,6,0,7,29,2,0,7,35,3,2,4
502143,450,54,115,19,3,15,66,2,2,40,122,2,0,8
607680,587,72,150,37,1,16,42,15,6,33,95,6,3,3
460576,368,51,94,23,1,17,51,13,5,31,127,19,3,5
500208,466,49,119,21,0,18,64,3,0,37,61,5,0,4
593528,384,55,98,15,1,17,40,1,1,35,118,2,0,1
400121,392,38,100,16,0,10,47,0,0,36,63,5,0,2
400085,196,19,50,6,0,3,20,1,1,17,35,1,1,0
605137,549,75,140,26,6,26,90,2,4,66,117,1,0,4
474568,502,52,128,24,5,14,58,0,4,51,88,3,0,2
520471,608,71,155,29,6,12,61,14,5,45,111,4,2,4
578428,463,56,118,33,1,6,54,7,4,21,65,1,3,1
491676,310,40,79,20,1,0,22,12,4,31,73,3,2,2
455139,263,46,67,13,1,17,38,1,0,34,79,10,1,1
570481,110,18,28,6,0,4,11,1,2,3,37,0,1,1
605170,59,6,15,3,0,1,2,0,0,4,13,3,0,0
457803,555,82,141,29,2,36,101,1,1,57,139,2,0,3
500871,457,62,116,16,5,21,73,5,1,33,98,5,1,3
455104,272,38,69,19,0,17,43,0,0,37,87,6,0,1
621439,462,69,117,14,6,16,51,29,1,38,150,4,5,2
451089,79,9,20,5,0,2,11,2,0,5,21,2,0,1
594824,241,27,61,9,2,2,20,2,1,37,64,6,5,1
573627,241,33,61,13,0,11,41,0,0,20,77,2,0,1
543063,518,58,131,34,1,14,77,3,5,42,113,1,0,9
543510,352,39,89,14,2,13,49,1,0,26,89,9,1,3
664023,364,62,92,17,3,24,68,8,4,39,129,4,2,4
608577,554,64,140,30,2,20,101,2,2,55,127,4,0,3
452220,95,9,24,7,0,1,17,0,0,8,21,0,0,3
460060,194,23,49,6,0,3,21,3,1,16,58,1,1,5
456665,313,38,79,17,1,13,37,0,0,27,68,5,0,3
425784,218,23,55,9,0,10,35,0,1,14,70,3,1,1
605113,167,24,42,8,1,6,21,3,4,10,39,1,0,0
502481,346,56,87,13,3,5,30,28,7,28,55,10,4,2
571718,251,41,63,21,1,13,30,6,0,23,69,1,0,3
570256,379,39,95,20,0,11,35,8,1,27,60,3,0,1
572287,387,52,97,25,0,25,64,1,0,39,160,8,0,1
444876,599,71,150,36,5,6,54,4,7,15,102,4,7,4
502042,8,1,2,0,0,0,1,0,0,0,3,0,0,0
456701,28,4,7,2,0,0,0,0,0,0,11,0,7,0
605151,4,0,1,0,0,0,1,0,0,0,2,0,0,0
502179,4,0,1,0,0,0,0,0,0,0,1,0,1,0
595956,24,2,6,1,0,1,5,0,0,3,4,0,0,0
501571,252,37,63,16,2,3,15,7,3,14,56,3,2,1
489119,4,0,1,0,0,0,0,0,0,0,1,0,0,0
445988,140,13,35,9,0,2,12,0,0,6,22,0,0,1
595375,228,20,57,13,1,3,31,0,2,12,50,0,2,5
645302,24,2,6,1,2,0,4,0,1,0,6,2,1,0
592779,4,0,1,0,0,0,1,0,0,0,2,0,1,0
450306,4,0,1,0,0,0,0,0,0,0,1,0,0,0
592826,24,1,6,0,0,0,1,0,0,1,4,0,0,0
572233,12,2,3,1,0,2,2,0,0,1,5,2,0,0
592863,16,3,4,0,0,0,1,2,0,1,2,0,0,0
434778,557,67,139,25,0,28,85,0,0,43,132,5,0,3
408234,469,50,117,22,0,16,60,0,1,54,110,3,0,3
572122,578,72,144,33,1,27,88,2,1,58,110,8,0,6
465041,265,31,66,13,2,5,31,0,2,32,65,6,0,1
453064,241,16,60,10,0,7,26,0,1,17,40,1,0,1
518618,406,56,101,22,5,13,53,0,1,36,98,18,0,4
594807,587,78,146,37,3,31,99,5,3,39,170,10,0,11
628338,386,43,96,16,0,6,24,1,5,27,64,11,1,1
543760,342,53,85,19,1,10,40,12,1,38,85,2,1,3
642708,165,16,41,4,4,4,10,7,3,3,49,2,0,0
571875,536,89,133,30,4,30,105,6,4,87,152,7,0,5
543068,339,39,84,14,1,16,56,3,2,22,96,7,0,3
571740,582,85,144,17,11,4,38,59,13,44,133,0,5,2
501981,566,91,140,28,1,43,110,4,0,73,195,6,0,7
519346,469,83,116,26,4,31,63,4,2,75,163,7,0,0
592620,166,14,41,12,2,4,23,2,1,10,54,1,0,0
518735,438,50,108,27,0,22,58,0,1,40,130,0,1,3
489149,512,75,126,22,1,38,85,2,0,81,149,5,0,3
543257,382,62,94,22,1,9,45,3,1,67,79,3,2,2
519048,508,73,125,34,0,22,79,0,1,57,120,6,0,5
572228,114,18,28,9,0,4,18,0,0,7,31,3,0,0
453923,224,43,55,10,3,3,13,15,1,31,59,0,1,0
408314,501,75,123,25,7,15,58,24,6,50,79,2,5,3
592662,53,5,13,2,0,0,2,0,0,3,23,0,5,0
598265,482,58,118,19,3,17,63,8,3,48,124,9,0,2
594777,569,77,139,23,2,19,71,5,1,71,134,8,0,6
518595,348,39,85,19,1,16,57,0,0,23,59,2,0,3
460026,287,27,70,23,0,9,35,0,0,12,81,0,2,2
545350,230,50,56,10,0,16,35,9,4,20,90,6,2,1
